Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,EmployeeNumber,EmployeeCount,Over18,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,8,1,1,Y,Yes,11,80,8,0,1,6,4,0,5
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,6,2,1,Y,Yes,15,80,7,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,1,4,1,Y,Yes,11,80,8,3,3,8,7,3,0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,1,5,1,Y,No,22,80,1,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,0,7,1,Y,No,21,80,10,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,6,8,1,Y,No,13,80,17,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,,4,1,Laboratory Technician,2,Married,0,10,1,Y,No,13,80,6,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,0,11,1,Y,Yes,12,80,10,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,1,12,1,Y,No,17,80,5,1,2,,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,0,13,1,Y,No,11,80,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,50,,1,Laboratory Technician,3,Single,5,14,1,Y,Yes,14,80,6,,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,1,15,1,Y,No,11,80,10,1,3,10,9,8,8
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,1,16,1,Y,Yes,13,80,1,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,78,0,4,Manager,4,Married,2,18,1,Y,No,16,80,31,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,5,19,1,Y,Yes,11,80,6,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,,2,Other,,Female,96,4,2,Manufacturing Director,3,Divorced,0,20,1,Y,No,18,80,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,7,21,1,Y,No,23,80,,4,3,5,3,0,3
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,0,3,1,Research Scientist,4,Single,1,22,1,Y,No,14,80,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2,23,1,Y,No,11,80,8,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,4,24,1,Y,No,11,80,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,1,26,1,Y,Yes,22,80,10,5,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,,3,2,Sales Executive,2,Married,0,27,1,Y,No,11,80,10,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,3,28,1,Y,No,14,80,24,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,3,30,1,Y,No,12,80,22,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,4,31,1,Y,No,11,80,7,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,2,32,1,Y,Yes,13,80,9,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,1,33,1,Y,No,13,80,10,5,3,10,0,1,8
